Date,PX_Last,30MA,Bank,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2/4/2010,3.2489999999999997,3.274733333,0.25,0.9921418540000001,9.8242,0,0.401543734,0.001173409,0.064384775,0.01350056,0.037923676,0.09084587300000001,4.76904456,0.40296049799999994,0.003975085,0.39516933,0.410751665,101.3715331,0.011035132,0.000294296,0.010458311,0.011611952,37.49668023
5/4/2010,3.252,3.2694,0.25,0.994677923,9.8082,0,0.402807604,0.001171346,0.064503479,0.013507034,0.038029692000000004,0.090977265,4.775547223,0.40294362200000006,0.003967778,0.395166776,0.41072046799999995,101.5539618,0.011035356000000001,0.00029431,0.010458508,0.011612204,37.49565574
6/4/2010,3.29,3.268733333,0.25,1.006506088,9.8062,0,0.408723455,0.001168923,0.064686229,0.013520551,0.038185948,0.091186509,4.784289323,0.40300157600000003,0.00395877,0.395242386,0.410760766,101.7996845,0.011040333999999999,0.00029446,0.010463193,0.011617475,37.49354083
7/4/2010,3.2739999999999996,3.2686666669999997,0.25,1.001631654,9.806000000000001,0,0.406281268,0.001168961,0.064696821,0.013528446000000001,0.038181067,0.09121257599999999,4.782280265,0.402970576,0.003958179,0.395212545,0.410728608,101.80705440000001,0.011040992,0.000294488,0.010463796,0.011618188,37.49218238
8/4/2010,3.247,3.268533333,0.25,0.993411928,9.8056,0,0.402176485,0.001165893,0.064917633,0.013539175,0.03838085,0.091454417,4.794799673,0.402832786,0.00394476,0.395101056,0.410564515,102.11845290000001,0.011043406,0.000294565,0.010466059,0.011620753999999999,37.49056532
9/4/2010,3.312,3.270866667,0.25,1.012575668,9.8126,0,0.411772794,0.001167357,0.064980647,0.013565718999999999,0.038391838,0.091569456,4.7900628769999996,0.403017941,0.003947495,0.395280851,0.410755031,102.0946066,0.011058242,0.000294996,0.01048005,0.011636435,37.48606245
12/4/2010,3.3280000000000003,3.273533333,0.25,1.016638495,9.8206,0,0.413819153,0.0011672689999999999,0.06499107,0.013572339,0.038389285,0.091592855,4.788494392,0.40304152,0.003947367,0.395304682,0.410778359,102.1038986,0.011059033000000001,0.000295026,0.010480781,0.011637284,37.48491009
13/4/2010,3.2739999999999996,3.2736333330000003,0.25,1.000112006,9.8209,0,0.405521113,0.00116442,0.06530061,0.013592475,0.03865936,0.09194186,4.80417383,0.402886177,0.003931332,0.395180766,0.41059158799999995,102.4808282,0.011069668000000001,0.000295335,0.010490811000000001,0.011648525,37.48169209
14/4/2010,3.27,3.2731,0.25,0.999052886,9.8193,0,0.40499166299999995,0.001160983,0.065500741,0.01360003,0.038844683,0.0921568,4.816220391,0.4028144,0.003918758,0.395133633,0.410495166,102.7913317,0.011069256000000001,0.000295334,0.010490402,0.01164811,37.48052335
15/4/2010,3.264,3.2732666669999997,0.25,0.997168985,9.8198,0,0.40405060200000004,0.001154943,0.065842919,0.013608847,0.039169578999999996,0.092516258,4.838243781,0.402699532,0.0038972240000000003,0.395060972,0.41033809200000004,103.3298317,0.01106765,0.0002953,0.010488862,0.011646438,37.47934808
