Date,Price,1MA,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2017-04-11,-0.231,-0.23099999999999984,1.0000000000000009,0.5,-0.5,0.3133418192323586,0.11218704314699304,0.003677013743257,0.002460094548231,-0.0011447715712757595,0.008498799057789759,1.494663587585018,0.33858910704300604,0.160975079145023,0.02307795191876094,0.6541002621672511,2.1033635072045533,0.023636624946031002,0.000611443729189,0.02243819523682056,0.02483505465524144,38.6570731167321
2017-04-12,-0.233,-0.23299999999999985,1.0000000000000009,0.5,-0.5,0.3106095770954856,0.11372735262767501,0.0036398546335500003,0.002462676384889,-0.0011869910808324402,0.00846670034793244,1.478007689473305,0.337394811293033,0.162715464992452,0.01847249990782707,0.6563171226782389,2.073526393503433,0.023635983595494,0.0006114286431749999,0.022437583454871,0.024834383736117,38.65697797989058
2017-04-13,-0.23,-0.22999999999999984,1.0000000000000009,0.5,-0.5,0.31471074483970024,0.11173251761465701,0.0036814628013640003,0.0024654959045050003,-0.0011509091714658006,0.0085138347741938,1.493193638909291,0.339579274756265,0.16024738217173598,0.02549440569966249,0.6536641438128674,2.119094054168956,0.023637447894067,0.00061146815627,0.0224389703077778,0.0248359254803562,38.65687469033491
2017-04-14,-0.22,-0.21999999999999986,1.0000000000000009,0.5,-0.5,0.3285040669720361,0.10668771522963601,0.0037828654520390003,0.002469917283821,-0.0010581724242501598,0.008623903328328159,1.531575764426406,0.34655790380281,0.15448278195510598,0.04377165117080229,0.6493441564348177,2.243343234869522,0.023652963104386002,0.000611872052908,0.02245369388068632,0.024852232328085682,38.65671424598828
2017-04-16,-0.21899999999999997,-0.21899999999999986,1.0000000000000009,0.5,-0.5,0.3298939212610904,0.10531661955766697,0.0038279801113669997,0.002472777613058,-0.00101866401022668,0.008674624232960679,1.5480486765787342,0.3469066590221451,0.152449995809172,0.04810466723616797,0.6457086508081222,2.275543906582865,0.023652094502492,0.00061185130502,0.022452865944652803,0.0248513230603312,38.656605466757284
2017-04-17,-0.21600000000000005,-0.21599999999999986,1.0000000000000009,0.5,-0.5,0.3340751120214915,0.10468530855416301,0.0038260347699479997,0.002475918647863,-0.0010267657798634794,0.00867883531975948,1.545299064349121,0.34921808248789005,0.151964170434784,0.05136830843571344,0.6470678565400667,2.298029078096128,0.023653514708701,0.0006118898018380001,0.02245421069709852,0.024852818720303482,38.65649441723625
2017-04-18,-0.21100000000000002,-0.21099999999999985,1.0000000000000009,0.5,-0.5,0.3410828491788961,0.102558594644862,0.003872191741416,0.002479401647761,-0.0009874354881955608,0.008731818971027561,1.5617444414106798,0.352336036154406,0.149493100483062,0.05932955920760453,0.6453425131012075,2.35687155471317,0.023657725341295,0.000612000653381,0.02245820406066824,0.02485724662192176,38.65637268618761
2017-04-19,-0.221,-0.2209999999999998,1.0000000000000009,0.5,-0.5,0.327116141697188,0.10551886150363499,0.0038380986789,0.00248410100079,-0.0010307392826484,0.0087069366404484,1.5450654694313708,0.34594784033243897,0.151976273797928,0.04807434368850011,0.6438213369763779,2.276327953614804,0.023673279416092,0.0006124059906189999,0.02247296367447876,0.02487359515770524,38.656185241041726
2017-04-20,-0.215,-0.21499999999999986,1.0000000000000009,0.5,-0.5,0.33547273628812946,0.10365033662778304,0.0038625677411260003,0.002487798203075,-0.0010135167369009993,0.008738652219152999,1.5526049244477331,0.350146745439715,0.15014352414977694,0.05586543810615219,0.6444280527732779,2.332080237376225,0.023679823208645,0.0006125773575040001,0.02247917158793716,0.02488047482935284,38.65605366988602
2017-04-21,-0.213,-0.21299999999999986,1.0000000000000009,0.5,-0.5,0.33827385856784115,0.103362582866371,0.003855939516262,0.002490878720691,-0.0010261827762923603,0.00873806180881636,1.548023789448696,0.351739662150037,0.14998930991866902,0.05776061470944571,0.6457187095906283,2.3450982096041795,0.023680313616044,0.0006125918906360001,0.022479633510397442,0.02488099372169056,38.65593713861228
2017-04-22,-0.213,-0.21299999999999986,1.0000000000000009,0.5,-0.5,0.33827385856784115,0.103013618838473,0.003869650009485,0.002493911312614,-0.0010184161632384395,0.00875771618220844,1.5516389816721192,0.35168075043653196,0.14933092049411906,0.05899214626805871,0.6443693546050053,2.35504307663048,0.023680314170911,0.000612593671106,0.022479630575543242,0.024880997766278758,38.655825692993204
2017-04-24,-0.20600000000000002,-0.20599999999999985,1.0000000000000009,0.5,-0.5,0.34814004148889505,0.10051275607040301,0.003921300718321,0.0024979058315710003,-0.000974594711558161,0.00881719614820016,1.5698352871274093,0.35593254943928704,0.14660540206484698,0.06858596139218698,0.6432791374863871,2.427826972445728,0.023688606488703,0.00061281058052,0.0224874977508838,0.0248897152265222,38.65567475774378
2017-04-25,-0.204,-0.2039999999999998,1.0000000000000009,0.5,-0.5,0.3509769228240947,0.099690041568336,0.003941102906324,0.0025011663494330003,-0.0009611831385646807,0.00884338895121268,1.5757060329940349,0.357091965030457,0.145574833124329,0.07176529210677213,0.6424186379541419,2.452978700827226,0.023689440888725,0.0006128340710210001,0.02248828610952384,0.02489059566792616,38.655554592858046
2017-04-26,-0.201,-0.20099999999999985,1.0000000000000009,0.5,-0.5,0.35524739194754684,0.098958996104295,0.003949434364670999,0.0025045317109000003,-0.0009594477886930012,0.008858316518034998,1.5769152961742032,0.359023774959633,0.144851594082037,0.07511465055884052,0.6429328993604255,2.478562816204134,0.023691179921929,0.000612880946196,0.02248993326738484,0.024892426576473163,38.65543556048194
2017-04-27,-0.193,-0.19299999999999976,1.000000000000001,0.5,-0.5,0.36672527979223374,0.09694183637364599,0.0039836810884659995,0.002508954963417,-0.0009338706398313195,0.00890123281676332,1.5877850127051818,0.36368182376548297,0.142914996140482,0.08356843133013825,0.6437952162008277,2.5447422145118512,0.023702202102306003,0.0006131685805580001,0.022500391684412323,0.02490401252019968,38.65527826086631
