Date,ust3myieldzc,90MA,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2010-07-21,0.16,0.151555555555559,1.0557184750732898,0.7198888888889052,0.0,0.2513585277693527,0.304991228691849,0.014091648053458,0.006260612977394,0.00182084661776576,0.02636244948915024,2.2508415876112147,0.21349425537557104,0.07317292146849701,0.07007532929731691,0.3569131814538252,2.917667507200541,0.06058256559903201,0.001580064966911,0.05748563826388645,0.06367949293417757,38.34181939838687
2010-07-22,0.155,0.151555555555559,1.0227272727272494,0.7198888888889052,0.0,0.2424678241406064,0.30489517379969,0.014061533332111,0.00625889834627,0.0017940925734217985,0.0263289740908002,2.246646702688555,0.21397574443404,0.073480055891021,0.06995483488763883,0.3579966539804411,2.912024791480675,0.060576459130307986,0.001579898443741,0.057479858180575626,0.06367306008004034,38.341995569594744
2010-07-23,0.156,0.15156666666667012,1.0292500549812829,0.7199416666666831,0.0,0.24421937195635465,0.30494123815116697,0.014031114772008002,0.006257691238959001,0.0017660399436483594,0.026296189600367642,2.242219092667107,0.21440589664008602,0.073779371644017,0.06979832821781268,0.3590134650623593,2.90604123974635,0.060576269787948,0.001579890066421,0.057479685257762834,0.06367285431813316,38.342079031596825
2010-07-26,0.16399999999999998,0.15170000000000347,1.0810810810810565,0.7205750000000165,0.0,0.2582475718767228,0.305205411907473,0.013962330248346,0.006256874439501,0.0016988563469240402,0.02622580414976796,2.231518369651162,0.215326236344519,0.074461894375821,0.06938092336790985,0.36127154932112815,2.89176414526516,0.060583385474039,0.001580075191363,0.05748643809896752,0.06368033284911047,38.342090177232905
2010-07-27,0.162,0.15188888888889235,1.06656912948059,0.7214722222222386,0.0,0.2542999984175022,0.305167770639114,0.013949920486845,0.006255240858411,0.0016896484043594402,0.02621019256933056,2.2301172413030823,0.215536970105516,0.074587926845318,0.06934463348869274,0.3617293067223393,2.88970318953229,0.060582345164185994,0.00158004160382,0.0574854636206988,0.0636792267076732,38.34224682294465
2010-07-28,0.156,0.1520333333333368,1.026090769568054,0.7221583333333498,0.0,0.2433706331414741,0.30507011150400604,0.014043198603231001,0.006254438223408001,0.001784499685351319,0.02630189752111068,2.2453173413196392,0.21420732643280802,0.07362378896568901,0.06990470006005753,0.3585099528055584,2.90948522810522,0.06058707765486401,0.001580161015992,0.0574899620635197,0.06368419324620833,38.34234425586061
2010-07-29,0.155,0.15220000000000347,1.0183968462549045,0.7229500000000165,0.0,0.2413066767966985,0.30506705561347197,0.014034054732610001,0.006253245715658001,0.0017776931299203179,0.02629041633529968,2.244283268362336,0.214346361917423,0.073710062364586,0.06987463968283447,0.35881808415201155,2.907966090941824,0.060586699153790995,0.001580146544286,0.05748961192699044,0.06368378638059156,38.342455877204046
2010-07-30,0.151,0.15225555555555895,0.9917536305918188,0.7232138888889053,0.0,0.2341921605537565,0.3050413596711961,0.014118751694086001,0.006252279929845,0.0018642830315898,0.0263732203565822,2.258176513608981,0.21307875970610896,0.072822171561681,0.0703473034452142,0.3558102159670037,2.926014909149308,0.060586740696534004,0.0015801441312589995,0.05748965819926636,0.06368382319380164,38.34254072016265
2010-08-02,0.152,0.15237777777778122,0.9975207816829292,0.7237944444444608,0.0,0.2357278716264596,0.30506693737886303,0.014075148245472,0.006251276563186,0.0018226461816274405,0.02632765030931656,2.251563837114845,0.21371274100278798,0.073258261830692,0.07012654781463168,0.35729893419094433,2.91725104666969,0.060585579018094,0.0015801101960270002,0.05748856303388108,0.06368259500230691,38.342628995390406
2010-08-03,0.156,0.15227777777778126,1.0244436337103016,0.7233194444444608,0.0,0.24292841729036155,0.305149438900602,0.013988389501601,0.006250227061890001,0.0017379444602965994,0.026238834542905404,2.238061011718004,0.214984922966492,0.07414841801187501,0.06965402366321699,0.360315822269767,2.8993865106071586,0.060586259912984,0.001580124949844,0.057489215011289764,0.06368330481467824,38.342701897707855
2010-08-04,0.155,0.15222222222222567,1.0182481751824586,0.7230555555555721,0.0,0.2412668365176571,0.305122580630033,0.013958458646113002,0.006248696211543001,0.0017110140714887195,0.026205903220737285,2.2338193718439068,0.215451146142508,0.074457024261967,0.06951537858905266,0.3613869136959633,2.893630900215317,0.060584329607028004,0.0015800685754320002,0.05748739519918127,0.06368126401487471,38.34284824661072
2010-08-05,0.15,0.15207777777778125,0.986337400452962,0.7223694444444608,0.0,0.2327520391438079,0.305065505617032,0.01400574755728,0.006247711425665,0.0017602331629766011,0.0262512619515834,2.241740471518132,0.214787342200198,0.073966134853434,0.06981371788746735,0.35976096651292866,2.9038605657278835,0.06058764006704701,0.0015801511515539995,0.057490543810001175,0.06368473632409287,38.34293953933585
2010-08-06,0.14800000000000002,0.1518444444444479,0.9746816917898214,0.7212611111111275,0.0,0.2296599188446214,0.30509982555936305,0.014041405537581002,0.006246608072236,0.0017980537159984422,0.02628475735916356,2.247844810368502,0.214215984730301,0.073570518399835,0.0700177686666244,0.3584142007939776,2.911709600387697,0.06058738437968299,0.0015801399880879998,0.05749031000303051,0.06368445875633548,38.34304861369351
2010-08-09,0.149,0.15155555555555894,0.9831378299120012,0.7198888888889051,0.0,0.2319022787801225,0.305144188982324,0.014021317300492,0.00624554562416,0.0017800478771384,0.0262625867238456,2.245010787568795,0.214492822563129,0.073763286232029,0.06991678154835215,0.3590688635779058,2.907853398619242,0.06058754264982,0.001580140581494,0.057490467110091766,0.06368461818954824,38.34313437639262
2010-08-10,0.16,0.15141111111111452,1.0567256182578466,0.719202777777794,0.0,0.2516311871450705,0.30536568683603005,0.013856191241118998,0.006245685335089001,0.0016146479843445573,0.02609773449789344,2.218522147325334,0.21700785120385996,0.07553829231931099,0.06895279825801047,0.3650629041497096,2.8728191297539123,0.060603788071395,0.001580568272105,0.0575058742580692,0.0637017018847208,38.343037210710726
2010-08-11,0.155,0.15124444444444787,1.0248310314428213,0.7184111111111274,0.0,0.24303240655730105,0.305305497123584,0.013913944623232,0.006244422132277,0.001674877243969081,0.026153012002494917,2.228219734106542,0.21617290255927696,0.07492028543121201,0.0693291431141014,0.3630166620044525,2.885372116711372,0.060607039433945,0.00158064708304,0.0575089711511866,0.0637051077167034,38.34318241196549
2010-08-12,0.157,0.15114444444444786,1.0387414540909858,0.7179361111111273,0.0,0.2467735682496936,0.305448619291726,0.013919077369083,0.006242633431466999,0.0016835158434076822,0.02615463889475832,2.2296803940021404,0.21597864475960396,0.074808488090631,0.06935400810196722,0.3626032814172408,2.8870874184483664,0.060605174931462995,0.0015805935508489998,0.057507211571798965,0.06370313829112705,38.343301412873465
2010-08-13,0.157,0.15113333333333676,1.0388178209086665,0.7178833333333496,0.0,0.24679414552892354,0.305522813721718,0.013952840967048002,0.006240994688242,0.0017204913780936824,0.026185190556002318,2.235675827979157,0.21538478694910396,0.074404871867766,0.06955123808828267,0.36121833580992535,2.894767258411404,0.06060251570405,0.001580517701081,0.057504701009931235,0.06370033039816876,38.34345902142193
2010-08-16,0.161,0.1512666666666701,1.0643455266637043,0.718516666666683,0.0,0.2536965034705405,0.30566580886296196,0.013917745094536001,0.006239790507933001,0.0016877556989873185,0.02614773449008468,2.23048275047729,0.215838053361222,0.07474239188667599,0.06934296526333705,0.3623331414591069,2.887759515222287,0.060604081493065,0.001580555764811,0.05750619219403545,0.06370197079209458,38.343526272436385
2010-08-17,0.168,0.15130000000000346,1.1103767349636229,0.7186750000000163,0.0,0.266264440370632,0.305923953003416,0.013824167326955,0.006238774800738001,0.001596168717508518,0.026052165936401483,2.215846503277966,0.217163429771595,0.075712390721899,0.06876714395667298,0.365559715586517,2.868268029856091,0.060610738247231996,0.001580728924265,0.0575125095556726,0.0637089669387914,38.34353715987338
2010-08-18,0.16,0.15130000000000346,1.0575016523463079,0.7186750000000163,0.0,0.251841330110404,0.3057354302959939,0.013922727670591,0.006238232613743,0.0016957917476547214,0.026149663593527283,2.231838492190792,0.21582284527832504,0.074703127383037,0.06940471560757253,0.3622409749490776,2.889073762222868,0.060619695671502,0.001580958547748,0.057521016917915925,0.06371837442508807,38.343633840281015
